,SnO2/Pt sensor,,,,SnO2/Ag sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,G1-1,G1-2,G1-3,G1-4,G2-1,G2-2,G2-3,G2-4,Conc,Gas,Split,Split0,Split1,Split10,Split11,Split12,Split13,Split20,Split21,Split22,Split23,Split30,Split31,Split32,Split33,Split34,Split35,Split36,Split40,Split41,Split42,Split43
72,14.75,8.81,4.76,1.67,2.09,2.26,1.28,1.24,200,H2,In,In,In,In,V,In,V,Tr,In,Tr,In,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Tr,Tr,Tr,Tr
73,19.7,10.12,5.35,1.83,2.25,2.29,1.33,1.28,250,H2,Tr,Tr,Tr,Tr,In,Tr,Ex,In,In,In,V,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
74,19.7,10.19,5.35,1.78,2.25,2.28,1.33,1.27,250,H2,Tr,Tr,Tr,Tr,In,Tr,Ex,In,In,In,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
75,19.6,10.12,5.39,1.83,2.25,2.29,1.22,1.27,250,H2,V,In,V,V,In,V,Ex,In,In,In,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
76,23.5,10.45,5.71,1.83,2.32,2.36,1.28,1.29,300,H2,Ex,Tr,In,In,Tr,Ex,Ex,V,V,V,V,Tr,Tr,Ex,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
77,23.45,10.44,5.82,1.92,2.32,2.36,1.28,1.31,300,H2,Ex,Tr,In,In,Tr,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
78,23.25,10.44,5.76,1.83,2.32,2.37,1.33,1.3,300,H2,Ex,In,In,In,V,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
79,30.35,12.15,6.29,2.08,2.54,2.39,1.33,1.35,350,H2,Ex,Tr,In,Tr,Ex,Ex,Ex,In,In,In,In,Tr,Ex,Ex,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
80,30.2,12.12,6.29,2.08,2.54,2.37,1.33,1.37,350,H2,Ex,Tr,In,Tr,Ex,Ex,Ex,In,In,In,In,Tr,Ex,Ex,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
81,30.25,12.12,6.24,2.11,2.54,2.42,1.39,1.39,350,H2,Ex,In,In,V,Ex,Ex,Ex,In,In,In,In,Tr,Ex,Ex,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
82,40.8,13.15,5.76,2.15,2.64,2.46,1.28,1.42,400,H2,Ex,Tr,Tr,Ex,Ex,Ex,Ex,V,V,V,V,Ex,Ex,Ex,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
83,40.4,13.12,6.29,2.18,2.68,2.46,1.33,1.43,400,H2,Ex,Tr,Tr,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
84,39.8,13.09,6.29,2.18,2.64,2.47,1.28,1.43,400,H2,Ex,In,V,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr
85,1.88,1.85,1.29,1.13,3.28,1.35,1.31,1.14,30,Ethanol,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex
86,1.88,1.85,1.29,1.12,3.29,1.36,1.32,1.15,30,Ethanol,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex
87,1.86,1.85,1.29,1.12,3.32,1.35,1.29,1.19,30,Ethanol,V,In,V,V,V,V,V,Ex,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex,Ex
88,2.35,2.23,1.79,1.53,3.62,1.39,1.38,1.26,90,Ethanol,In,Tr,In,In,In,In,In,V,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex
89,2.35,2.15,1.86,1.53,3.59,1.38,1.37,1.27,90,Ethanol,In,Tr,In,In,In,In,In,Tr,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex
90,2.35,2.18,1.86,1.53,3.69,1.37,1.35,1.25,90,Ethanol,In,In,In,In,In,In,In,Tr,Ex,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Ex
91,2.41,2.55,1.93,1.6,4.17,1.45,1.43,1.27,150,Ethanol,Tr,Tr,Tr,Tr,Tr,Tr,Tr,In,V,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex
92,2.39,2.55,1.89,1.6,4.17,1.45,1.48,1.32,150,Ethanol,Tr,Tr,Tr,Tr,Tr,Tr,Tr,In,Tr,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex
93,2.4,2.57,1.89,1.6,4.12,1.43,1.46,1.39,150,Ethanol,V,In,V,V,V,V,V,In,Tr,Ex,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex
94,3.45,2.77,2.36,1.87,5.29,1.5,1.43,1.42,300,Ethanol,In,Tr,In,In,In,In,Tr,V,In,V,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Tr,Tr,Tr,Ex
95,3.47,2.77,2.36,1.87,5.33,1.51,1.39,1.37,300,Ethanol,In,Tr,In,In,In,In,Tr,Tr,In,Tr,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Tr,Tr,Tr,Ex
96,3.47,2.69,2.36,1.87,5.33,1.49,1.43,1.39,300,Ethanol,In,In,In,In,In,In,V,Tr,In,Tr,Ex,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Tr,Tr,Tr,Ex
97,3.88,2.92,2.43,1.93,5.96,1.56,1.43,1.43,600,Ethanol,Tr,Tr,Tr,Tr,In,Tr,In,In,V,In,V,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Tr,Tr,Tr,Tr
98,3.91,2.92,2.43,1.93,6.04,1.55,1.53,1.51,600,Ethanol,Tr,Tr,Tr,Tr,In,Tr,In,In,Tr,In,Tr,Tr,Tr,Tr,Tr,Tr,Ex,Ex,Tr,Tr,Tr,Tr
